Movie_Name,Genre,Runtime,Year,Synopsis,Votes,Gross Amount,Rating,Metascore
Modern Love,"
Comedy, Romance            ",32 min,(2019– ),"
    TV series based on the New York Times' column that explores relationships, love and the human connection.","5,590",,8.1,
Friends,"
Comedy, Romance            ",22 min,(1994–2004),"
    Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.","713,824",,8.9,
This Is Us,"
Comedy, Drama, Romance            ",45 min,(2016– ),"
    A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.","82,639",,8.7,
Last Christmas,"
Comedy, Drama, Romance            ",102 min,(2019),"
    Kate is a young woman subscribed to bad decisions. Her last date with disaster? That of having accepted to work as Santa's elf for a department store. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.","1,854",,6.6,51        
Big Mouth,"
Animation, Comedy, Romance            ",30 min,(2017– ),"
    Teenage friends find their lives upended by the wonders and horrors of puberty.","43,355",,8.0,
The Good Place,"
Comedy, Drama, Fantasy            ",22 min,(2016– ),"
    Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.","73,030",,8.1,
The Big Bang Theory,"
Comedy, Romance            ",22 min,(2007–2019),"
    A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.","667,989",,8.1,
The Art of Racing in the Rain,"
Comedy, Drama, Romance            ",109 min,(2019),"
    Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.","7,243",$25.50M,7.5,43        
Modern Family,"
Comedy, Romance            ",22 min,(2009– ),"
    Three different but related families face trials and tribulations in their own uniquely comedic ways.","318,876",,8.4,
Yesterday,"
Comedy, Fantasy, Music            ",116 min,(III) (2019),"
    A struggling musician realizes he's the only person on Earth who can remember ","60,244",$73.29M,6.9,56        
The End of the F***ing World,"
Adventure, Comedy, Crime            ",25 min,(2017– ),"
    James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father.","105,203",,8.1,
Holiday in the Wild,"
Comedy, Drama, Romance            ",85 min,(2019),"
    Jilted by her husband on the eve of embarking on an African safari, a woman travels to the continent alone where she meets an elephant conservationist.","3,373",,6.2,
How I Met Your Mother,"
Comedy, Romance            ",22 min,(2005–2014),"
    A father recounts to his children, through a series of flashbacks, the journey he and his four best friends took leading up to him meeting their mother.","555,846",,8.3,
Two and a Half Men,"
Comedy, Romance            ",22 min,(2003–2015),"
    A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.","229,803",,7.0,
A Million Little Things,"
Comedy, Drama, Mystery            ",43 min,(2018– ),"
    A group of friends becomes motivated to living fuller lives after the unexpected death of a close friend.","6,032",,7.9,
Bones,"
Comedy, Crime, Drama            ",40 min,(2005–2017),"
    Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.","131,726",,7.8,
Marriage Story,"
Comedy, Drama, Romance            ",136 min,(2019),"
    Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.","1,672",,8.1,95        
That '70s Show,"
Comedy, Romance            ",22 min,(1998–2006),"
    A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin.","143,569",,8.1,
A Rainy Day in New York,"
Comedy, Romance            ",92 min,(2019),"
    A young couple arrive in New York for a weekend where they are met with bad weather and a series of adventures and misadventures.","4,886",,6.9,44        
Will & Grace,"
Comedy, Romance            ",22 min,(1998– ),"
    Gay lawyer Will and straight interior designer Grace share a New York City apartment. Their best friends are gleeful and proud gay Jack and charismatic, filthy-rich, amoral socialite Karen.","48,170",,7.2,
Long Shot,"
Comedy, Romance            ",125 min,(2019),"
    Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.","54,322",$30.32M,6.9,67        
Mom,"
Comedy, Drama, Romance            ",30 min,(2013– ),"
    A newly sober single mom tries to pull her life together in Napa Valley while dealing with her wayward mother.","25,081",,7.2,
Crazy Rich Asians,"
Comedy, Drama, Romance            ",120 min,(2018),"
    This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.","111,928",$174.53M,6.9,74        
Love Actually,"
Comedy, Drama, Romance            ",135 min,(2003),"
    Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.","391,928",$59.70M,7.6,55        
Doc Martin,"
Comedy, Drama, Romance            ",46 min,(2004– ),"
    The trials and tribulations of Dr. Martin Ellingham, a socially challenged doctor who moves from London to the picturesque village of Port Wenn in Cornwall.","10,584",,8.3,
La La Land,"
Comedy, Drama, Music            ",128 min,(I) (2016),"
    While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.","452,969",$151.10M,8.0,93        
Castle,"
Comedy, Crime, Drama            ",43 min,(2009–2016),"
    After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.","134,502",,8.1,
Varsity Blues,"
Comedy, Drama, Romance            ",106 min,(1999),"
    A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.","39,900",$52.89M,6.5,50        
Sex and the City,"
Comedy, Drama, Romance            ",30 min,(1998–2004),"
    Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the 1990s.","98,295",,7.1,
Murder Mystery,"
Action, Comedy, Crime            ",97 min,(2019),"
    A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.","72,632",,6.0,38        
Practical Magic,"
Comedy, Drama, Fantasy            ",104 min,(1998),"
    Two witch sisters, raised by their eccentric aunts in a small town, face closed-minded prejudice and a curse which threatens to prevent them ever finding lasting love.","67,596",$46.68M,6.3,46        
The O.C.,"
Comedy, Drama, Romance            ",44 min,(2003–2007),"
    A troubled youth becomes embroiled in the lives of a close-knit group of people in the wealthy, upper-class neighborhood of Newport Beach, Orange County, California.","76,650",,7.5,
Coming to America,"
Comedy, Romance            ",116 min,(1988),"
    An extremely pampered African Prince travels to Queens, New York, and goes undercover to find a wife that he can respect for her intelligence and will.","150,390",$128.15M,7.0,47        
Scott Pilgrim vs. the World,"
Action, Comedy, Fantasy            ",112 min,(2010),"
    Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.","347,512",$31.49M,7.5,69        
Younger,"
Comedy, Romance            ",22 min,(2015– ),"
    After being mistaken for younger than she really is, a single mother decides to take the chance to reboot her career and her love life as a 26-year old.","15,103",,7.8,
About Time,"
Comedy, Drama, Fantasy            ",123 min,(I) (2013),"
    At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.","273,931",$15.32M,7.8,55        
Clueless,"
Comedy, Romance            ",97 min,(1995),"
    A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.","161,711",$56.63M,6.8,68        
Desperate Housewives,"
Comedy, Drama, Mystery            ",45 min,(2004–2012),"
    Secrets and truths unfold through the lives of female friends in one suburban neighborhood, after the mysterious suicide of a neighbor.","108,882",,7.4,
Let It Snow,"
Comedy, Romance            ",92 min,(2019),"
    In a small town on Christmas Eve, a snowstorm brings together a group of young people.","2,985",,5.8,
Isn't It Romantic,"
Comedy, Fantasy, Romance            ",89 min,(2019),"
    A young woman disenchanted with love mysteriously finds herself trapped inside a romantic comedy.","51,272",$48.79M,5.9,60        
Life Is Beautiful,"
Comedy, Drama, Romance            ",116 min,(1997),"
    When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.","570,085",$57.60M,8.6,59        
The Ballad of Buster Scruggs,"
Comedy, Drama, Musical            ",133 min,(2018),"
    Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.","97,560",,7.3,79        
Secretary,"
Comedy, Drama, Romance            ",107 min,(2002),"
    A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one.","78,496",$4.06M,7.0,63        
Lady and the Tramp,"
Adventure, Comedy, Drama            ",,(2019),"
    CGI and live-action re-imagining of the 1955 Disney classic.",,,,
Thoroughly Modern Millie,"
Comedy, Musical, Romance            ",138 min,(1967),"
    Millie comes to town in the roaring twenties to encounter flappers, sexuality and white slavers.","5,541",$34.34M,6.9,
Mamma Mia! Here We Go Again,"
Comedy, Musical, Romance            ",114 min,(2018),"
    Five years after the events of ","66,089",$120.63M,6.7,60        
10 Things I Hate About You,"
Comedy, Drama, Romance            ",97 min,(1999),"
    A pretty, popular teenager can't go out on a date until her ill-tempered older sister does.","275,984",$38.18M,7.3,70        
Pitch Perfect,"
Comedy, Music, Romance            ",112 min,(2012),"
    Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.","261,696",$65.00M,7.2,66        
Bring It On,"
Comedy, Romance, Sport            ",98 min,(2000),"
    A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.","82,527",$68.38M,6.0,52        
The Durrells in Corfu,"
Biography, Comedy, Drama            ",46 min,(2016–2019),"
    Based on the real-life events of the Durrell family as they resettle from England to Greece.","5,703",,8.1,
Inherent Vice,"
Comedy, Crime, Drama            ",148 min,(2014),"
    In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend.","86,464",$8.11M,6.7,81        
Hart of Dixie,"
Comedy, Drama, Romance            ",60 min,(2011–2015),"
    New Yorker and new doctor Zoe Hart accepts an offer from a stranger, Dr. Harley Wilkes, to work in his medical practice in Bluebell, Alabama. She arrives to find he has died and left half the practice to her in his will.","41,901",,7.7,
Pretty Woman,"
Comedy, Romance            ",119 min,(1990),"
    A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.","266,877",$178.41M,7.0,51        
The Kissing Booth,"
Comedy, Romance            ",105 min,(2018),"
    A high school student is forced to confront her secret crush at a kissing booth.","48,820",,6.1,
Legally Blonde,"
Comedy, Romance            ",96 min,(2001),"
    Elle Woods, a fashionable sorority queen is dumped by her boyfriend. She decides to follow him to law school, while she is there she figures out that there is more to her than just looks.","170,209",$96.52M,6.2,59        
Broken Flowers,"
Comedy, Drama, Mystery            ",106 min,(2005),"
    As the extremely withdrawn Don Johnston is dumped by his latest woman, he receives an anonymous letter from a former lover informing him that he has a son who may be looking for him. A freelance sleuth neighbor moves Don to embark on a cross-country search for his old flames in search of answers.","93,788",$13.74M,7.2,79        
My Christmas Prince,"
Comedy, Drama, Family            ",85 min,(2017 TV Movie),"
    Samantha, a teacher, returns to her hometown for Christmas, where she is joined by her boyfriend, Alex. When she learns Alex is the crown prince of Madelvia, she must decide if she loves Alex enough to stop teaching and become a royal.",648,,5.2,
Silver Linings Playbook,"
Comedy, Drama, Romance            ",122 min,(2012),"
    After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.","629,869",$132.09M,7.7,81        
Welcome to Marwen,"
Biography, Comedy, Drama            ",116 min,(2018),"
    A victim of a brutal attack finds a unique and beautiful therapeutic outlet to help him through his recovery process.","13,427",$10.76M,6.1,40        
Little Shop of Horrors,"
Comedy, Horror, Musical            ",94 min,(1986),"
    A nerdy florist finds his chance for success and romance with the help of a giant man-eating plant who demands to be fed.","60,269",$38.75M,7.0,81        
Pretty in Pink,"
Comedy, Drama, Romance            ",97 min,(1986),"
    A poor girl must choose between the affections of dating her childhood sweetheart or a rich but sensitive playboy.","69,231",$40.47M,6.8,57        
The Parent Trap,"
Adventure, Comedy, Drama            ",128 min,(1998),"
    Identical twins Annie and Hallie, separated at birth and each raised by one of their biological parents, later discover each other for the first time at summer camp and make a plan to bring their wayward parents back together.","111,107",$66.31M,6.5,64        
The Book of Life,"
Animation, Adventure, Comedy            ",95 min,(2014),"
    Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart, embarks on an adventure that spans three fantastic worlds where he must face his greatest fears.","60,842",$50.15M,7.3,67        
"Crazy, Stupid, Love.","
Comedy, Drama, Romance            ",118 min,(2011),"
    A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.","444,123",$84.35M,7.4,68        
Four Weddings and a Funeral,"
Comedy, Romance            ",60 min,(2019– ),"
    Television adaptation of the romantic comedy film 'Four Weddings and a Funeral'.","2,301",,7.0,
Mad About You,"
Comedy, Romance            ",22 min,(1992–1999),"
    Paul and Jamie Buchman are a recently-married New York City couple. They point out the gentle humor in domesticity and life's everyday situations.","19,271",,6.6,
The Old Man & the Gun,"
Biography, Comedy, Crime            ",93 min,(2018),"
    Based on the true story of Forrest Tucker and his audacious escape from San Quentin at the age of 70 to an unprecedented string of heists that confounded authorities and enchanted the public.","32,183",$11.28M,6.7,80        
The Lobster,"
Comedy, Drama, Romance            ",119 min,(2015),"
    In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.","191,119",$8.70M,7.1,82        
Bridesmaids,"
Comedy, Romance            ",125 min,(I) (2011),"
    Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.","253,744",$169.11M,6.8,75        
