,Movie_Name,Genre,Runtime,Year,Synopsis,Votes,Gross Amount,Rating,Metascore
7,The Art of Racing in the Rain,"Comedy, Drama, Romance",109,2019,"Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.",7243,25.50,7.5,43.0
9,Yesterday,"Comedy, Fantasy, Music",116,2019,A struggling musician realizes he's the only person on Earth who can remember,60244,73.29,6.9,56.0
20,Long Shot,"Comedy, Romance",125,2019,"Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.",54322,30.32,6.9,67.0
22,Crazy Rich Asians,"Comedy, Drama, Romance",120,2018,"This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.",111928,174.53,6.9,74.0
23,Love Actually,"Comedy, Drama, Romance",135,2003,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",391928,59.70,7.6,55.0
25,La La Land,"Comedy, Drama, Music",128,2016,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",452969,151.10,8.0,93.0
27,Varsity Blues,"Comedy, Drama, Romance",106,1999,A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.,39900,52.89,6.5,50.0
30,Practical Magic,"Comedy, Drama, Fantasy",104,1998,"Two witch sisters, raised by their eccentric aunts in a small town, face closed-minded prejudice and a curse which threatens to prevent them ever finding lasting love.",67596,46.68,6.3,46.0
32,Coming to America,"Comedy, Romance",116,1988,"An extremely pampered African Prince travels to Queens, New York, and goes undercover to find a wife that he can respect for her intelligence and will.",150390,128.15,7.0,47.0
33,Scott Pilgrim vs. the World,"Action, Comedy, Fantasy",112,2010,Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,347512,31.49,7.5,69.0
